,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
1124,300 Sicomac Ave # 2,Market Basket,Bergen,B+,0.0,487426.2442,84.0,4.6,6,44511003,1,0.0,252444,"5,000 - 9,999",15,85629.45455,942512.0545
1125,1267 Ringwood Ave,Meating Place,Passaic,C+,0.0,39831.33235,30.0,4.9,9,44521006,1,0.0,175000,"1 - 1,499",7,51091.4,506323.1818
1126,1960 N Olden Avenue Ext,Mecca Halal Meat,Mercer,C+,0.0,112471.5628,82.0,4.1,50,44511003,1,0.0,234667,"1,500 - 2,499",6,69383.27273,370297.8364
1127,807 Elizabeth Ave,Mexico Lindo Dely Grocery,Union,C,0.0,147425.4471,18.0,4.2,122,44511003,1,0.0,240250,"1,500 - 2,499",25,68219.0,562057.7636
1128,453 Ramapo Valley Rd,Mini Mart,Bergen,C+,0.0,108316.9431,18.0,4.4,18,44512001,1,0.0,252500,"1,500 - 2,499",9,85629.45455,942512.0545
1129,627 Newark Ave,Moloney's Meat Market,Hudson,C+,0.0,145766.46300000002,63.0,4.8,200,72251117,1,0.0,54333,"1 - 1,499",39,65296.05455,685991.5091
1130,77 Ferry St,Mompou Tapas Wine Bar & Lounge,Essex,B+,0.0,525683.0908,710.0,4.4,106,72251117,1,0.0,59533,"2,500 - 4,999",19,67268.47273,799220.5636
1131,420 State Route 34,Mulberry Market,Monmouth,C+,0.0,114372.5103,3.0,5.0,6,44511003,1,0.0,229000,"2,500 - 4,999",1,79548.29091,621279.6364
1132,74 Martin Luther King Jr Dr,My City 2,Hudson,C+,0.0,97177.64201,20.0,4.4,166,44511003,0,0.0,230500,"1 - 1,499",21,65296.05455,685991.5091
1133,38 Carr Ave,Nappy's,Monmouth,C+,0.0,228745.0206,79.0,4.6,16,72251117,1,0.0,56833,"1,500 - 2,499",9,79548.29091,621279.6364
1134,2001 College Dr # 1,Natural Health,Camden,B+,0.0,532336.3433,83.0,4.6,54,62199921,1,0.0,87308,"10,000 - 19,999",16,54218.50909,505016.4182
