,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
0,57 Franklin St,Food Express Inc,Bergen,B,0.0,216633.8863,4.0,4.0,21,44511002,0,0.0,252500,"1,500 - 2,499",25,85629.45455,942512.0545
1,134 Vreeland Ave,George Pandel Grocery,Bergen,C+,-0.25,86734.30601,340.0,4.1,6,44511003,0,-0.16,252500,"1,500 - 2,499",29,71679.0,920203.0
2,29 W Main St,J & A Food Market,Union,C+,-0.25,67995.60369,20.0,4.4,50,44511003,0,-0.16,240500,"1,500 - 2,499",25,56129.0,546237.0
3,664 S Main St,Hoser Farm,Warren,C,0.0,28694.48238,20.0,4.4,4,44511003,0,0.12,235000,"1,500 - 2,499",3,47609.0,106903.0
4,187 Parker Ave,Abel Mini Market,Passaic,C+,-0.25,66676.2197,20.0,4.4,250,44511003,0,-0.16,208000,"1,500 - 2,499",29,43383.0,504006.0
5,18 Jagged Rock Rd,Market Safety Research,Morris,C+,0.0,107678.48800000001,20.0,4.4,60,44511003,0,0.12,264500,"1 - 1,499",13,80805.0,496114.0
6,325 Princeton Hightstown Rd,Yash Auto Svc,Mercer,C,0.0,74981.04187999999,9.0,4.4,7,44719005,0,0.0,1229500,"1 - 1,499",4,69383.27273,370297.8364
7,14 Blue Devil Ln,Deutsch Enterprises,Mercer,B,0.0,164691.075,20.0,4.4,30,44511003,0,0.12,234600,"1,500 - 2,499",13,58083.0,369517.0
8,401 Hamburg Tpke # 210,Metropolitan Food Systems,Passaic,B,1.0,100014.3295,20.0,4.4,56,44511002,0,1.25,207667,"1 - 1,499",12,43383.0,504006.0
9,6 Casson Ln,Optimal Trip,Passaic,C+,0.0,66676.2197,20.0,4.4,35,44512001,0,0.24,208000,"1 - 1,499",17,43383.0,504006.0
10,333 Grand St,Punto Fijo Deli & Grocery Inc,Passaic,C,0.0,33338.10985,20.0,4.4,37,72251117,0,-0.72,55000,"1 - 1,499",18,43383.0,504006.0
11,326 US Highway 46,Himi Inc,Morris,C+,0.0,161517.7319,20.0,4.4,2,44719005,0,0.49,1259000,"1 - 1,499",8,80805.0,496114.0
12,5208 Palisade Ave,Mar Brothers,Hudson,C+,2.75,79752.99591,20.0,4.4,149,44511003,0,3.22,230500,"1,500 - 2,499",59,49075.0,657217.0
13,650 Franklin Blvd,Franklin Food Mart,Somerset,B,0.0,269215.4097,1.0,1.0,81,44719005,0,0.0,1131167,"1 - 1,499",10,88350.0,329678.0
14,365 New Brunswick Ave,7-Eleven,Middlesex,B,0.0,268640.6598,9.0,1.8,98,44512001,0,0.0,229000,"2,500 - 4,999",12,54971.0,825867.0
15,808 Stuyvesant Ave,Herrera Mini Market,Mercer,B,0.67,108331.4043,20.0,4.4,50,44511003,0,0.67,234667,"1,500 - 2,499",6,63470.0,368352.0
16,67 Franklin St # 14,Marina's Food Store,Essex,C,0.0,31595.76425,4.0,4.0,78,44511003,0,0.0,243000,"1 - 1,499",25,60836.0,790508.0
17,3151 State Route 27 # A,Great Wall Supermarket,Somerset,C+,0.0,99689.01995,7.0,4.1,13,44511003,0,0.0,229500,"2,500 - 4,999",0,104293.2182,333893.1455
18,115 Stryker Ln # 4,Sultan Foods Inc,Somerset,C+,0.0,86875.54447000001,20.0,4.4,24,44511002,0,7.12,229500,"1,500 - 2,499",3,83433.0,329342.0
19,5106 Bergenline Ave,Annie's Quick Stop LLC,Hudson,C+,0.0,97177.64201,1.0,1.0,149,44512001,0,0.0,230500,"1,500 - 2,499",59,65296.05455,685991.5091
20,329 2nd Ave W,KNJ Mini Mart,Essex,C+,0.0,63191.52849,1.0,5.0,108,44512001,0,0.0,243000,"1,500 - 2,499",17,60836.0,790508.0
21,486 State Route 57 W,Sun Food Mart,Warren,C+,0.0,153212.5828,4.0,4.0,23,72251117,0,0.0,53400,"1,500 - 2,499",1,51010.0,106748.0
22,170 Market St,"Rodriguez, Victor",Passaic,C,-0.33,74360.09104,20.0,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770.0,503853.0
23,200 Mounts Corner Dr,Top Tomato,Monmouth,C+,0.0,106978.2354,11.0,3.2,86,44511003,0,0.0,229000,"1 - 1,499",10,70610.0,624320.0
24,1105 Main St,Tapia Grocery,Passaic,C+,0.0,79662.6647,1.0,2.0,65,44511003,0,0.0,208000,"1,500 - 2,499",24,51091.4,506323.1818
25,104 S Main St,Blitzs Market,Cape May,C,1.5,65099.97512999999,20.0,4.4,18,44511003,0,1.5,408500,"1,500 - 2,499",2,55995.0,93679.0
26,91 Quincy Ave,Food Associates Co,Hudson,B,-0.25,125481.2438,20.0,4.4,47,44511002,0,-0.25,230667,"1,500 - 2,499",20,58466.0,668928.0
27,1505 Summit Ave # A,"Ethan, Melissa",Hudson,C,-0.33,83654.16252,2.0,3.5,210,44511003,0,-0.33,230500,"1,500 - 2,499",55,58466.0,668928.0
28,5900 Hudson Ave,Camila's Deli Grocery,Hudson,C+,-0.33,83654.16252,2.0,4.0,149,44511003,0,-0.33,230500,"1,500 - 2,499",59,58466.0,668928.0
29,206 Lakeview Ave,Clifton Food Mart,Passaic,C+,-0.33,74360.09104,20.0,4.4,77,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770.0,503853.0
30,54 Florence Ave,D & S Grocery,Essex,C+,-0.33,66893.91315,20.0,4.4,220,44511003,0,-0.33,243000,"1 - 1,499",26,62253.0,792617.0
31,87 Fabyan Pl,Fabyan Place Grocery LLC,Essex,C+,-0.33,66893.91315,20.0,4.4,80,44511003,0,-0.33,243000,"1,500 - 2,499",24,62253.0,792617.0
32,1075 Grove St,Feliz Suriel Grocery,Essex,C+,-0.33,66893.91315,1.0,3.0,220,44511003,0,-0.33,243000,"1,500 - 2,499",26,62253.0,792617.0
33,1801 Route 37 E,Floyd's,Ocean,C+,-0.4,220934.0119,20.0,4.4,79,72251117,0,-0.4,52833,"1,500 - 2,499",8,48490.0,590990.0
34,317 Lake St,J M Supermarket,Essex,C,-0.33,66893.91315,20.0,4.4,158,44511003,0,-0.33,243000,"1,500 - 2,499",17,62253.0,792617.0
35,10 E 21st St,Jaloon Specialty Foods,Hudson,C+,-0.4,125481.2438,20.0,4.4,106,44511002,0,-0.4,230667,"1,500 - 2,499",18,58466.0,668928.0
36,444 Central Ave,Kas Supermarket,Essex,C+,-0.33,66893.91315,20.0,4.4,108,44511003,0,-0.33,243000,"1,500 - 2,499",17,62253.0,792617.0
37,801 E 6th St,Leapy Grocery,Union,C+,-0.33,72034.57505,1.0,5.0,19,44511003,0,-0.33,240500,"1,500 - 2,499",15,62526.0,553343.0
38,171 Passaic St,Los Tres Garcias Grocery,Passaic,C,-0.33,74360.09104,20.0,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770.0,503853.0
39,599 Kennedy Blvd # A,M J Grocery,Hudson,C+,-0.33,83654.16252,20.0,4.4,106,44511003,0,-0.33,230500,"1,500 - 2,499",18,58466.0,668928.0
40,1815 Kerrigan Ave,Nia's Grocery,Hudson,C,0.0,41827.08126,4.0,3.8,210,44511003,0,0.0,231000,"1,500 - 2,499",55,58466.0,668928.0
41,56 W Main St,R J Super Market,Bergen,C+,-0.33,99004.01182,20.0,4.4,6,44511003,0,-0.33,252500,"1,500 - 2,499",27,79145.0,928979.0
42,977 Bergen St,Ruby Grocery,Essex,C+,-0.33,66893.91315,20.0,4.4,80,44511003,0,-0.33,243000,"1,500 - 2,499",24,62253.0,792617.0
43,930 E Grand St,Torres Grocery,Union,C+,-0.33,72034.57505,1.0,1.0,122,44511003,0,-0.33,240500,"1,500 - 2,499",25,62526.0,553343.0
44,110 Columbia Ave,Trebol Food Market,Passaic,C+,-0.33,74360.09104,20.0,4.4,250,44511003,0,-0.33,208000,"1,500 - 2,499",29,47770.0,503853.0
45,168 Valley Blvd,Aksharpati Corp,Bergen,C,0.0,51606.54496,20.0,4.4,6,44511003,0,-0.09,253000,"1,500 - 2,499",34,81483.0,933569.0
46,391 Somerset St,Jg Grocery,Somerset,C+,0.0,95298.27651,20.0,4.4,81,44511003,0,-0.17,229500,"1,500 - 2,499",10,99533.0,330700.0
47,200 N Black Horse Pike,Roxy's Old Time Deli,Gloucester,C+,-0.33,79666.26606000001,20.0,4.4,32,44512001,0,0.54,159000,"1,500 - 2,499",5,52455.0,290850.0
48,765 E 18th St,Arias Minimarket & Deli,Passaic,C,0.0,77659.35377999999,20.0,4.4,180,44512001,0,-0.25,208000,"1 - 1,499",20,48294.0,503694.0
49,594 21st Ave,Food Market LLC,Passaic,C+,2.5,77659.35377999999,20.0,4.4,30,44511003,0,18.82,208000,"1,500 - 2,499",18,48294.0,503694.0
50,1031 S Orange Ave,Frederick's Supermarket,Essex,C+,0.0,73803.35645,20.0,4.4,90,44511003,0,-0.12,243000,"1,500 - 2,499",22,64232.0,795908.0
51,402 10th Ave,Gonzales Grocery,Passaic,C+,0.0,77659.35377999999,20.0,4.4,59,44511003,0,-0.25,208000,"1,500 - 2,499",21,48294.0,503694.0
52,96 Elwood Ave,Ing Grocery,Essex,C+,0.0,73803.35645,2.0,1.5,158,44511003,0,-0.12,243000,"1,500 - 2,499",17,64232.0,795908.0
53,225 S Olden Ave,K2K Food Market Inc,Mercer,C+,0.0,70770.75557000001,6.0,4.0,17,44511003,0,-0.15,234500,"1,500 - 2,499",8,65877.0,368602.0
54,163 Main St,Modern Bazaar,Bergen,C+,0.0,103213.0899,20.0,4.4,79,44511003,0,-0.09,252500,"1,500 - 2,499",23,81483.0,933569.0
55,621 Executive Dr,Newmarket Pharmaceuticals LLC,Somerset,C+,0.0,142947.4148,20.0,4.4,35,44511003,0,-0.17,229333,"1,500 - 2,499",7,99533.0,330700.0
56,401 Piaget Ave,Village News,Passaic,C,-0.5,38829.676889999995,4.0,5.0,77,44512001,0,-0.63,208000,"1,500 - 2,499",29,48294.0,503694.0
57,105 Cedarbridge Ave # C,Center Deli,Ocean,B,0.0,385594.0352,1.0,5.0,84,72251117,0,-0.23,52800,"1,500 - 2,499",10,49749.0,595470.0
58,297 Van Houten St,E & L Deli Grocery,Passaic,U,0.0,38829.676889999995,20.0,4.4,180,72251117,0,-0.19,55000,"1 - 1,499",20,48294.0,503694.0
59,1511 43rd St,Eugenio J De LA Cruz,Hudson,C,0.0,94813.59742,20.0,4.4,99,44512001,0,-0.17,230500,"1 - 1,499",55,62461.0,672922.0
60,624 N State Rt 17,Hofa Market LLC,Bergen,C+,0.0,103213.0899,20.0,4.4,35,44511003,0,-0.09,252500,"1,500 - 2,499",22,81483.0,933569.0
61,2113 Springfield Ave # A,J & M Deli & Grocery,Union,C,0.0,35737.507560000005,20.0,4.4,10,44511003,0,-0.13,241000,"1,500 - 2,499",22,65036.0,555273.0
62,244 Park Ave,LA Doninicana III,Essex,B,0.0,110705.0347,20.0,4.4,92,44511003,0,-0.13,242667,"1 - 1,499",16,64232.0,795908.0
63,783 Fischer Blvd,Magic Convenience,Ocean,C+,0.0,77118.80704,20.0,4.4,79,44512001,0,-0.07,259000,"1 - 1,499",8,49749.0,595470.0
64,1 Evergreen Pl,Marsh Supermarkets Inc,Morris,C+,0.0,156698.6965,20.0,4.4,45,44511003,0,-0.05,264333,"1,500 - 2,499",11,93555.0,494225.0
65,17 Arctic Pkwy,Big Bear Natrl Foods Inc Of Nj,Mercer,B,0.0,103575.7069,8.0,3.8,43,44511003,0,0.0,234667,"1 - 1,499",6,62018.0,369017.0
66,284 Somerset St,Family Delight Grocery Store,Middlesex,C+,0.0,79008.50717000001,20.0,4.4,93,44511003,0,-0.17,229000,"1,500 - 2,499",20,58172.0,827684.0
67,28 W Grand Ave # 6,Food Specialties,Bergen,C+,0.0,154819.6349,20.0,4.4,20,72232001,0,-0.08,63333,"1 - 1,499",13,81483.0,933569.0
68,92 Lindsley Ave,L B's Variety,Essex,C,0.0,73803.35645,20.0,4.4,90,44512001,0,-0.12,243000,"1,500 - 2,499",22,64232.0,795908.0
69,301 N Harrison St # 51b,Main Street Euro-Amer Bistro,Mercer,A,0.0,1203102.845,20.0,4.4,35,72251117,0,-0.12,60235,"5,000 - 9,999",7,65877.0,368602.0
70,2047 N Riverside Dr,Marsh Supermarket,Atlantic,C,0.0,68416.03719,20.0,4.4,159,44511003,0,-0.05,264500,"1,500 - 2,499",3,46549.0,266328.0
71,5504 Bergenline Ave,Super Sale Inc,Hudson,C+,0.0,94813.59742,20.0,4.4,149,44512001,0,-0.17,230500,"1,500 - 2,499",59,62461.0,672922.0
72,1216 W Front St,Carnita Mini Market,Union,C+,0.0,71475.01512000001,1.0,3.0,17,44512001,0,-0.13,240500,"1,500 - 2,499",16,65036.0,555273.0
73,24 Franklin Ave,Gourmet Store,Bergen,C+,0.0,103213.0899,20.0,4.4,14,44511003,0,-0.09,252500,"1,500 - 2,499",14,81483.0,933569.0
74,498 Ocean Ave,Just Groceries,Hudson,C+,0.0,94813.59742,6.0,3.8,166,72251117,0,-0.2,54500,"1 - 1,499",21,62461.0,672922.0
75,26 Journal Sq # 1c,Sunny's Cafe,Hudson,B,0.0,142220.3961,20.0,4.4,200,44511003,0,-0.17,230667,"1,500 - 2,499",39,62461.0,672922.0
76,399 Dover Rd # 1a,All American Dell,Ocean,B,0.0,192797.0176,20.0,4.4,10,44512001,0,-0.07,258600,"2,500 - 4,999",6,49749.0,595470.0
77,657 Jackson Ave,Beira Centro Supermarket,Union,C+,0.0,71475.01512000001,20.0,4.4,122,44511003,0,-0.13,240500,"1 - 1,499",25,65036.0,555273.0
78,1450 Route 532 # A,Convenience Store,Burlington,C+,0.0,92617.58581,20.0,4.4,0,44512001,0,-0.15,236500,"1,500 - 2,499",0,59389.0,445196.0
79,86 Anderson St,Century Food Market Inc,Bergen,C+,0.0,103213.0899,20.0,4.4,79,44511003,0,-0.09,252500,"1 - 1,499",23,81483.0,933569.0
80,526 21st St,Green Tomato,Hudson,C,0.0,47406.79871,1.0,5.0,210,72251117,0,-0.19,55000,"1 - 1,499",55,62461.0,672922.0
81,265 S Orange Ave,Idalis Food Market,Essex,C+,0.0,73803.35645,20.0,4.4,119,44511003,0,-0.13,243000,"1,500 - 2,499",15,64232.0,795908.0
82,25 Howe Ave # 2,Pinos Market Grill,Passaic,C+,0.0,77659.35377999999,20.0,4.4,250,44511003,0,-0.25,208000,"1,500 - 2,499",29,48294.0,503694.0
83,299 Jackson Rd # F,Atco Cold Cuts,Camden,C,0.0,78487.77807999999,20.0,4.4,9,81211202,0,0.01,45000,"1 - 1,499",3,51852.0,506343.0
84,14 S 2nd Ave,B-B-Big Food Mart Inc,Middlesex,B,0.0,118512.7608,2.0,5.0,12,44512001,0,0.0,229000,"1,500 - 2,499",19,58172.0,827684.0
85,181 Spring St,Brothers Store,Union,C+,0.0,71475.01512000001,20.0,4.4,122,44511003,0,-0.13,240500,"1,500 - 2,499",25,65036.0,555273.0
86,16 Manor Rd,J & M Gourmet Foods,Morris,C+,0.0,156698.6965,20.0,4.4,20,44511002,0,-0.05,264333,"1,500 - 2,499",13,93555.0,494225.0
87,195 Browertown Rd,Nicholas Markets,Passaic,B,0.0,271807.7382,5.0,4.6,48,44511003,0,-0.25,207571,"2,500 - 4,999",19,48294.0,503694.0
88,Broad & Bnk,Wawa Food Market,Cape May,B,0.0,342445.5855,361.0,3.9,21,72251117,0,0.0,55417,"2,500 - 4,999",5,43247.0,97238.0
89,264 Main St,Circle P Food Store,Bergen,C+,0.0,54158.47157,10.0,4.2,10,44512001,1,0.0,253000,"1 - 1,499",20,85629.45455,942512.0545
90,264 Main St,Circle P Food Store,Bergen,C+,0.0,54158.47157,10.0,4.2,10,44512001,1,0.0,253000,"1 - 1,499",20,85629.45455,942512.0545
91,196 Paterson Ave # 202,Clc Gourmet Foods Inc,Bergen,C+,0.0,108316.9431,1.0,5.0,23,44511003,1,0.0,252500,"2,500 - 4,999",28,85629.45455,942512.0545
92,31 Clinton St,Clinton News,Essex,C+,0.0,70091.07877000001,3.0,5.0,74,44512001,1,0.0,243000,"2,500 - 4,999",17,67268.47273,799220.5636
93,941 Atlantic City Blvd,Coastal Mini Mart,Ocean,C+,0.0,80573.46178,14.0,4.6,17,44512001,1,0.0,259000,"1 - 1,499",6,52010.14545,600689.8727
94,10 E Black Horse Pike # 1,Collings Lake Food Mart,Atlantic,C,0.0,74427.48599,16.0,3.9,32,44512001,1,0.0,264500,"1,500 - 2,499",5,48563.56364,266207.8
95,120 Rhode Island Ave,Corner Store,Essex,C,0.0,35045.53939,22.0,3.6,92,44511003,1,0.0,243000,"1 - 1,499",15,67268.47273,799220.5636
96,1320 Sea Girt Ave,Country Farms,Monmouth,C,0.0,76248.34021000001,7.0,4.4,5,44512001,1,0.0,229000,"1,500 - 2,499",10,79548.29091,621279.6364
97,193 Route 70,Country Farms,Ocean,C+,0.0,80573.46178,1.0,5.0,32,44512001,1,0.0,259000,"1 - 1,499",8,52010.14545,600689.8727
98,811 W Main St,Criollo's Latin Cuisine,Cumberland,U,0.0,191187.0861,146.0,4.7,35,72251117,1,0.0,47600,"1,500 - 2,499",4,40115.8,151919.2
99,147 W Delaware Ave,Cugino's Italian Specialties,Mercer,C+,0.0,187452.6047,124.0,4.8,13,72232001,1,0.0,60400,"1 - 1,499",3,69383.27273,370297.8364
100,76 Remsen Ave,Daisey Food Market,Middlesex,B+,0.0,204868.3535,74.0,3.9,93,44511003,1,0.0,229000,"1,500 - 2,499",20,61266.49091,835785.1818
101,490 Broad St,Dean's Natural Food Market,Monmouth,B+,0.0,571862.5516,137.0,4.5,8,44511003,1,0.0,229000,"5,000 - 9,999",11,79548.29091,621279.6364
102,25 Mountainview Blvd,Dean's Natural Market,Somerset,B+,0.0,996890.1995,138.0,4.5,14,44619103,1,0.0,136550,"40,000 - 99,999",4,104293.2182,333893.1455
103,10 New St,Deli Delight,Middlesex,B,0.0,163894.6828,4.0,4.0,23,72251117,1,0.0,59750,"1 - 1,499",23,61266.49091,835785.1818
104,33 South St,Diami Grocery,Essex,C+,0.0,70091.07877000001,1.0,5.0,74,44511003,0,0.0,243000,"1,500 - 2,499",17,67268.47273,799220.5636
105,216 E Mcfarlan St # 1,Dover Plaza Market,Morris,C+,0.0,104194.4848,20.0,4.6,23,44511003,1,0.0,264500,"1 - 1,499",10,99047.49091000001,495913.1091
106,415 Commerce Ln # 3,E Z Pantry,Camden,B+,0.0,327591.5959,1.0,5.0,12,44511003,1,0.0,221500,"1,500 - 2,499",7,54218.50909,505016.4182
107,415 Commerce Ln # 3,E Z Pantry,Camden,B+,0.0,327591.5959,1.0,5.0,12,44511003,1,0.0,221500,"1,500 - 2,499",7,54218.50909,505016.4182
108,1427 Saint George Ave,Eagle Supermarket,Union,C+,0.0,73712.72352999999,219.0,3.9,43,44511003,1,0.0,240500,"1,500 - 2,499",32,68219.0,562057.7636
109,179 Catherine St,Edwin's Supermarket,Union,B,0.0,110569.0853,3.0,5.0,122,44511003,1,0.0,240333,"1 - 1,499",25,68219.0,562057.7636
110,223 Atlantic City Blvd,El Cerrito,Ocean,C,0.0,40286.73089,16.0,4.6,7,44511003,1,0.0,259000,"1 - 1,499",7,52010.14545,600689.8727
111,17 S Broad St,El Manantial,Gloucester,U,0.0,41508.65453,295.0,4.3,55,72232001,1,0.0,61000,"1 - 1,499",17,54928.127270000005,292277.1455
112,1370 Springfield Ave,El Surtido Ecuatoriano,Essex,C+,0.0,70091.07877000001,4.0,4.0,220,44511003,1,0.0,243000,"1,500 - 2,499",26,67268.47273,799220.5636
113,1897 Woodbridge Ave,El Tropical Meat & Groceries,Middlesex,C+,0.0,122921.0121,5.0,4.8,82,51731214,1,4.15625,990000,"1,500 - 2,499",22,61266.49091,835785.1818
114,112 Wilson Ave,Emporium 112 Super,Essex,B,0.0,140182.1575,171.0,4.5,106,44511003,1,0.0,242750,"1 - 1,499",19,67268.47273,799220.5636
115,1422 Bergen Blvd,Enzo's Market,Bergen,C+,0.0,108316.9431,87.0,4.7,44,44511003,1,0.0,252500,"1,500 - 2,499",40,85629.45455,942512.0545
116,725 State St,Espinosa Market,Middlesex,C+,0.0,81947.3414,23.0,4.7,98,44511003,1,0.0,229000,"1 - 1,499",12,61266.49091,835785.1818
117,115 Monticello Ave,Exito Fresh Market,Hudson,C,0.0,97177.64201,261.0,3.8,118,44511003,1,0.0,230500,"1,500 - 2,499",32,65296.05455,685991.5091
118,1528 Monroe Ave,Express Deli & Grocery LLC,Monmouth,C+,0.0,114372.5103,5.0,4.2,55,44511003,1,0.0,229000,"1 - 1,499",8,79548.29091,621279.6364
119,171 Eagle Rock Ave,Fairchilds,Essex,A,0.0,700910.7877,190.0,4.3,10,44511003,1,0.0,242650,"20,000 - 39,999",12,67268.47273,799220.5636
120,867 Stuyvesant Ave,Family Grocery Fortuna,Essex,C+,0.0,70091.07877000001,4.0,4.8,220,44511003,1,0.0,243000,"1,500 - 2,499",26,67268.47273,799220.5636
121,7 Peter Rd,Fast Break Basketball Camp LLC,Passaic,C+,0.0,79662.6647,1.0,3.0,10,44511003,1,0.0,208000,"1,500 - 2,499",1,51091.4,506323.1818
122,634 Whittaker Ave,Fernandez Supermarket-Trenton,Mercer,B,0.0,112471.5628,384.0,4.3,78,44511003,1,0.0,234667,"1 - 1,499",8,69383.27273,370297.8364
123,800 S Burnt Mill Rd,Fieni's Ristorante,Camden,B+,0.0,409489.4948,315.0,4.6,23,72251117,1,0.0,51800,"1,500 - 2,499",18,54218.50909,505016.4182
124,683 Newark Ave,Filstop,Hudson,B,0.0,194355.28399999999,429.0,4.4,200,72251117,0,0.0,54250,"1 - 1,499",39,65296.05455,685991.5091
125,1400 Burnet Ave,Fior D Italia,Union,B,0.0,147425.4471,67.0,4.3,71,72251115,1,0.0,59500,"1 - 1,499",29,68219.0,562057.7636
126,538 Lakehurst Rd,Five Star Deli & Grill,Burlington,B,0.0,238730.2226,1.0,5.0,12,44512001,1,3.402985075,236400,"1,500 - 2,499",1,62081.527270000006,445855.6545
127,683 Newark Ave,Filstop,Hudson,B,0.0,194355.28399999999,429.0,4.4,200,72251117,0,0.0,54250,"1 - 1,499",39,65296.05455,685991.5091
128,1400 Burnet Ave,Fior D Italia,Union,B,0.0,147425.4471,67.0,4.3,71,72251115,1,0.0,59500,"1 - 1,499",29,68219.0,562057.7636
129,1 Blue Hill Plz,Food City Markets Inc,Bergen,C,0.0,108316.9431,20.0,4.4,12,44511003,0,0.0,252500,"1,500 - 2,499",28,85629.45455,942512.0545
130,75b 1st St,Food Depot,Essex,C+,0.0,70091.07877000001,322.0,4.0,108,44511003,1,0.49794238700000004,243000,"1,500 - 2,499",17,67268.47273,799220.5636
131,407 Princeton Ave,Food Ex,Ocean,C+,0.0,80573.46178,158.0,4.3,84,44511003,1,0.0,259000,"1 - 1,499",10,52010.14545,600689.8727
132,202 Broad St,Food Express,Union,C+,0.0,73712.72352999999,16.0,2.6,15,44511003,1,0.0,240500,"1 - 1,499",17,68219.0,562057.7636
133,235 Paterson Ave,Food Mart 4 U,Bergen,C+,0.0,162475.4147,9.0,4.8,20,44511003,1,0.0,252667,"1,500 - 2,499",29,85629.45455,942512.0545
134,69 W Broad St,Franklin Riggins,Cumberland,C+,0.0,76474.83442999999,35.0,4.2,71,44512001,1,0.0,239000,"1,500 - 2,499",2,40115.8,151919.2
135,115 Town Square Pl,Fresca Gourmet,Hudson,C+,0.0,145766.46300000002,48.0,3.5,23,44511003,1,0.0,230667,"1,500 - 2,499",52,65296.05455,685991.5091
136,57 Elm St,Fresh Bui,Union,C+,0.0,184281.8088,25.0,4.9,22,44511007,1,0.0,240200,"2,500 - 4,999",26,68219.0,562057.7636
137,201 E Broad St,Fresh Farm Market,Burlington,C+,0.0,95492.08902999999,71.0,4.1,10,44511003,1,0.0,236500,"1 - 1,499",33,62081.527270000006,445855.6545
138,855 Industrial Hwy,Galaxy Foods,Burlington,C+,0.0,334222.3116,3.0,5.0,22,44511003,1,0.0,236286,"5,000 - 9,999",28,62081.527270000006,445855.6545
139,87 N Beverwyck Rd,Gene's III,Morris,C+,0.0,104194.4848,39.0,3.9,12,44511003,1,0.0,264500,"2,500 - 4,999",8,99047.49091000001,495913.1091
140,350 Ramapo Valley Rd # 12,Giant Farmers Market,Bergen,C+,0.0,108316.9431,198.0,4.5,18,44511003,1,0.0,252500,"5,000 - 9,999",9,85629.45455,942512.0545
141,19 Wyckoff Ave,Giant Farmers Market,Bergen,U,0.0,108316.9431,319.0,4.4,11,44511003,1,0.0,252500,"1 - 1,499",16,85629.45455,942512.0545
142,87 N Beverwyck Rd,Gene's III,Morris,C+,0.0,104194.4848,39.0,3.9,12,44511003,1,0.0,264500,"2,500 - 4,999",8,99047.49091000001,495913.1091
143,350 Ramapo Valley Rd # 12,Giant Farmers Market,Bergen,C+,0.0,108316.9431,198.0,4.5,18,44511003,1,0.0,252500,"5,000 - 9,999",9,85629.45455,942512.0545
144,19 Wyckoff Ave,Giant Farmers Market,Bergen,U,0.0,108316.9431,319.0,4.4,11,44511003,1,0.0,252500,"1 - 1,499",16,85629.45455,942512.0545
145,701 N Black Horse Pike,Glutenfree Grocer,Gloucester,C,0.0,83017.30907,1.0,5.0,32,44511003,1,0.0,159000,"2,500 - 4,999",5,54928.127270000005,292277.1455
146,209 S New Rd,Gokul Indian Supermarket,Atlantic,B,0.0,148854.97199999998,256.0,4.5,15,44511003,1,0.0,264500,"1 - 1,499",7,48563.56364,266207.8
147,211 Morris Ave,Gold Valley Supermarket,Union,C,0.0,73712.72352999999,347.0,4.1,45,44511003,1,0.0,240500,"2,500 - 4,999",22,68219.0,562057.7636
148,353 Wolfert Station Rd,Grasso Girls Farm Market,Gloucester,B+,0.0,498103.8544,103.0,4.5,14,44511003,1,0.0,158583,"2,500 - 4,999",1,54928.127270000005,292277.1455
149,225 Kinderkamack Rd,Great Foods Market,Bergen,B,0.0,270792.3579,23.0,4.4,9,72232001,1,-0.749206349,63200,"1 - 1,499",19,85629.45455,942512.0545
150,358 Millburn Ave # E,Green Nectar Juicery,Essex,C+,0.0,70091.07877000001,24.0,4.2,9,44511003,1,0.0,243000,"2,500 - 4,999",18,67268.47273,799220.5636
151,1824 Whitehorse Mercerville Rd,Gsfm Corp,Mercer,C,0.0,112471.5628,59.0,4.5,30,44719005,1,0.0,234667,"1 - 1,499",13,69383.27273,370297.8364
152,351 Haledon Ave,Haledon CITGO,Passaic,B,0.0,119493.9971,40.0,3.8,35,81111104,1,0.0,120333,"1 - 1,499",17,51091.4,506323.1818
153,22 Marshall Hill Rd,Harvest Moon Health,Passaic,C+,0.0,79662.6647,10.0,5.0,10,44511007,1,0.0,208000,"1,500 - 2,499",1,51091.4,506323.1818
154,413 Lafayette Ave,Hawthorne Convenience Store,Passaic,C,0.0,79662.6647,3.0,4.7,13,44512001,1,0.0,208000,"1,500 - 2,499",18,51091.4,506323.1818
155,35 Riveredge Rd # B,Healthway Natural Food Ctr,Bergen,C+,0.0,108316.9431,18.0,4.9,10,44619103,1,0.0,119500,"1 - 1,499",19,85629.45455,942512.0545
156,20 Main St,High Bridge Farmers Mkt & Groc,Hunterdon,C+,0.0,226529.4921,4.0,3.0,4,44511003,0,0.0,224800,"1,500 - 2,499",1,89151.38182000001,123816.5273
157,702 Chancellor Ave,Hind Hing,Essex,C+,0.0,70091.07877000001,7.0,5.0,220,44511003,1,0.0,243000,"1,500 - 2,499",26,67268.47273,799220.5636
158,331 Tilton Rd # 26,Honeytree,Atlantic,B,0.0,186068.715,27.0,4.6,10,44619103,1,0.0,104800,"5,000 - 9,999",10,48563.56364,266207.8
