Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,Year
805 E Landis Ave,Best Food In Town Chinese,Cumberland,C+,0,114712.2516,183,4.1,92,72251117,1,0,47667,"1 - 1,499",8,40115.8,151919.2,2019
475 Mcbride Ave,Bienaventurado Deli Grocery,Passaic,C,0,79662.6647,17,4.5,180,44511003,1,0,208000,"1,500 - 2,499",20,51091.4,506323.1818,2019
67 N Main St,Bill Young's Svc Ctr,Morris,B,0,156291.7271,15,3.7,13,44719005,1,0,1259000,"1 - 1,499",8,99047.49091,495913.1091,2019
681 River Ave # 1e,Blue Ribbon,Ocean,C+,0,80573.46178,49,4.7,84,44512001,1,0,259000,"2,500 - 4,999",10,52010.14545,600689.8727,2019
400 Jefferson St,Blue Ribbon Grocery,Hudson,U,0,48588.82101,8,3.3,65,44511003,1,0,231000,"1,500 - 2,499",54,65296.05455,685991.5091,2019
24 Old Tpke,Bongo African Grocery,Atlantic,C+,0,74427.48599,24,4,59,44511003,1,0,264500,"1,500 - 2,499",7,48563.56364,266207.8,2019
412 Springfield Ave,Bonji Bowl,Union,C,0,221138.1706,13,4.5,15,44529932,1,0,78833,"1,500 - 2,499",17,68219,562057.7636,2019
316 Main St,Boonton Smoke & Deli,Morris,B,0,156291.7271,5,3.2,13,44512001,1,0,264333,"1 - 1,499",5,99047.49091,495913.1091,2019
1340 Asbury Ave,Boyar's Market,Cape May,B+,0,342093.4692,170,4.4,19,44511003,1,0,408200,"2,500 - 4,999",4,61476.94545,92193.6,2019
408 Washington St,Cape May Fish Market,Cape May,C+,0,68418.69385,523,4.2,21,44511003,1,0,408500,"1,500 - 2,499",5,61476.94545,92193.6,2019
401 52nd St # A,Carniceria Latina,Hudson,C+,0,97177.64201,393,4.6,149,44511003,1,0,230500,"1,500 - 2,499",59,65296.05455,685991.5091,2019
101 N Pennsylvania Ave,Cedar Food Dollar Plus,Atlantic,C,0,37213.743,36,3.9,159,44511003,1,0,265000,"1 - 1,499",3,48563.56364,266207.8,2019
1125 Arctic Ave # A,Cedar Food Market,Atlantic,B,0,148854.972,11,4,159,44511003,1,0,264500,"1,500 - 2,499",3,48563.56364,266207.8,2019
401 N Tennessee Ave,Cedar Food Market,Atlantic,C,0,37213.743,18,3.3,159,44511003,1,0,265000,"1 - 1,499",3,48563.56364,266207.8,2019
500 S Main St,Cedar Food Market,Atlantic,C,0,74427.48599,14,4.2,59,44511003,1,0,264500,"1,500 - 2,499",7,48563.56364,266207.8,2019
1741 Baltic Ave,Cedar Food Market Iv,Atlantic,B+,0,186068.715,113,4.1,159,44511003,1,0,264600,"1,500 - 2,499",3,48563.56364,266207.8,2019
1700 Baltic Ave,Cedar General Store,Atlantic,C+,0,74427.48599,24,4.1,159,44511003,1,0,264500,"1,500 - 2,499",3,48563.56364,266207.8,2019
918 S Main St,Cedar Market,Atlantic,B,0,148854.972,11,4.1,59,44512001,1,0,264500,"1 - 1,499",7,48563.56364,266207.8,2019
646 Cedar Ln,Cedar Markets,Bergen,C+,0,108316.9431,210,4.5,33,44511003,1,0,252500,"1,500 - 2,499",23,85629.45455,942512.0545,2019
1305 Baltic Ave,Chikeeza LLC,Atlantic,C,0,74427.48599,17,3.8,159,44511003,1,0,264500,"1,500 - 2,499",3,48563.56364,266207.8,2019
2608 Pacific Ave,City Grocery,Atlantic,C+,0,111641.229,5,4.8,159,44511003,1,0,264667,"1 - 1,499",3,48563.56364,266207.8,2019
525 Irvington Ave # 1,City Supermarket 2,Essex,C+,0,70091.07877,908,4,90,44511003,1,0,243000,"2,500 - 4,999",22,67268.47273,799220.5636,2019
125 Main St,Country Farm,Monmouth,B,0,152496.6804,5,5,10,44512001,1,0,229000,"1 - 1,499",8,79548.29091,621279.6364,2019
10 E Kings Hwy,Country Farm Convenience,Camden,C,0,40948.94948,6,3.8,12,44512001,1,0,222000,"1 - 1,499",27,54218.50909,505016.4182,2019
261 W White Horse Pike,Country Farm Food Store,Atlantic,C+,0,74427.48599,4,4,32,44512001,1,0,264500,"1,500 - 2,499",4,48563.56364,266207.8,2019
5312 Route 49,Cumberland Country Store Inc,Cumberland,C+,0,76474.83443,2,5,35,44719005,1,0,570500,"1 - 1,499",4,40115.8,151919.2,2019
35 Spring St,D'Angelo Italian Market,Mercer,C+,0,187452.6047,364,4.5,11,44511003,1,0,234600,"1,500 - 2,499",7,69383.27273,370297.8364,2019
396 US Highway 206,Dale's Market,Sussex,B+,0,761346.4091,332,4.4,9,72251117,1,0,49609,"2,500 - 4,999",0,61649.29091,139335,2019
733 Route 70 E # 308,Delval Food Ingredients Inc,Burlington,B,0,334222.3116,8,5,44,44511003,1,0,236286,"5,000 - 9,999",13,62081.52727,445855.6545,2019
241 Harrison Ave,Ding Food Market,Hudson,U,0,97177.64201,79,4.8,30,44511003,1,0,230500,"1 - 1,499",16,65296.05455,685991.5091,2019
241 Harrison Ave,Ding Food Market,Hudson,U,0,97177.64201,79,4.8,30,44511003,1,0,230500,"1 - 1,499",16,65296.05455,685991.5091,2019
501 Zion Rd,Eagle Mart News & Tobacco,Atlantic,C,0,74427.48599,25,4.2,40,45399102,1,0,250500,"5,000 - 9,999",9,48563.56364,266207.8,2019
45 Jackson Dr,East Coast Foods,Union,A,0,737127.2353,1,5,22,44511003,1,0,240050,"20,000 - 39,999",27,68219,562057.7636,2019
300 E State St,East State Deli,Mercer,B,0,112471.5628,2,4,18,44511003,1,0,234667,"1 - 1,499",6,69383.27273,370297.8364,2019
67 Belleville Ave,East West Asian Market,Essex,C,0,70091.07877,209,3.9,78,44511003,1,0,243000,"1,500 - 2,499",25,67268.47273,799220.5636,2019
359 Totowa Ave,El Nuevo Bodegon,Passaic,C+,0,79662.6647,46,4.5,42,44511003,1,0,208000,"1 - 1,499",17,51091.4,506323.1818,2019
1247 Teaneck Rd,Eleven Food Stores,Bergen,C+,0,108316.9431,17,3.1,33,44511003,1,0,252500,"1 - 1,499",23,85629.45455,942512.0545,2019
36 Anderson Ave,Fairview Liquors,Bergen,C+,0,108316.9431,8,4.8,34,44512001,1,0,252500,"1 - 1,499",55,85629.45455,942512.0545,2019
1210 Yorkship Sq,Fernanito Super Market,Camden,C+,-0.333333333,81897.89896,7,3.7,59,44511003,1,-0.333834586,221500,"1 - 1,499",29,54218.50909,505016.4182,2019
