Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population,Year
100 Schuyler Ave,Quick Trip,Hudson,C+,0,97177.64201,1,1,47,44719005,1,0,1514500,"1 - 1,499",20,65296.05455,685991.5091,2019
280 Closter Dock Rd,Rainbow Food,Bergen,C+,0,108316.9431,40,4.5,11,44511003,1,0,252500,"1 - 1,499",13,85629.45455,942512.0545,2019
182 Sherman St,Raul Grocery,Passaic,C+,0,79662.6647,8,4.8,250,44511003,1,0,208000,"1,500 - 2,499",29,51091.4,506323.1818,2019
116 Broughton Ave,Royal India Catering & Grocery,Essex,B,0,140182.1575,542,4.1,78,44511003,1,0,242750,"1 - 1,499",25,67268.47273,799220.5636,2019
7609 Broadway,Rt Grocery,Hudson,C+,0,97177.64201,3,4.7,99,44511003,1,0,230500,"1,500 - 2,499",55,65296.05455,685991.5091,2019
35 Robbinsville Allentown Rd,Russert's Deli & Food Market,Mercer,B,0,224943.1256,11,4.6,16,44529902,1,0,81000,"1,500 - 2,499",6,69383.27273,370297.8364,2019
7514 Tonnelle Ave,Ryders Stop,Hudson,C+,0,145766.463,5,4,99,44512001,0,0,230667,"1,500 - 2,499",55,65296.05455,685991.5091,2019
325 E Jimmie Leeds Rd # 1,Santori's Produce & Deli Mkt,Atlantic,B+,0,223282.458,323,4.6,32,31161103,1,0,532500,"10,000 - 19,999",4,48563.56364,266207.8,2019
6508 Bergenline Ave,Selectos Supermarket 3,Hudson,C,0,97177.64201,27,4.6,149,44511003,1,0,230500,"1,500 - 2,499",59,65296.05455,685991.5091,2019
,Shoprite Of English Creek,Atlantic,U,0,74427.48599,1491,4.2,59,44511003,1,0,264500,"1 - 1,499",7,48563.56364,266207.8,2019
428 State Rt 23,Sit N' Chat Diner,Sussex,C+,0,165510.0889,789,4.3,16,44511003,1,0,248400,"2,500 - 4,999",4,61649.29091,139335,2019
272 Morris Ave,Sofia's Fine Italian Cuisine,Union,C+,0,147425.4471,342,4.5,45,72251117,1,0,59500,"1,500 - 2,499",22,68219,562057.7636,2019
70 Christopher Columbus Dr,Sprout Market Place,Hudson,C,0,97177.64201,295,4,73,44511003,1,0,230500,"1,500 - 2,499",48,65296.05455,685991.5091,2019
157 Sterling Ave,Sterling Market,Hudson,C+,0,97177.64201,17,4.6,166,44511003,1,0,230500,"1,500 - 2,499",21,65296.05455,685991.5091,2019
1249 Mays Landing Rd,Stoc-Up,Atlantic,B+,0,260496.201,75,4.6,42,44511003,1,0,264429,"2,500 - 4,999",2,48563.56364,266207.8,2019
81 Palisade Ave,Stop N Go Convenience Store,Bergen,C+,0,108316.9431,8,4.6,30,44512001,1,0,252500,"1,500 - 2,499",56,85629.45455,942512.0545,2019
1400 Berlin Rd # 120,Subzi Mandi,Camden,B,0,122846.8484,326,3.5,20,44511003,1,0,221667,"2,500 - 4,999",21,54218.50909,505016.4182,2019
251 Littleton Rd,Subzi Mandi,Morris,C+,0,104194.4848,680,4.1,60,44511003,1,0,264500,"1,500 - 2,499",13,99047.49091,495913.1091,2019
294 Lee Ave,Super Fresco,Middlesex,C+,0,122921.0121,117,4.5,93,44511003,1,0,229000,"1 - 1,499",20,61266.49091,835785.1818,2019
157 Morris St,Super Gold Convenience,Morris,C+,0,156291.7271,11,3.6,45,44512001,1,0,264333,"1,500 - 2,499",11,99047.49091,495913.1091,2019
2300 Atlantic Ave # A,Super Mini Mart,Atlantic,C,0,37213.743,9,3,159,44512001,1,0,265000,"2,500 - 4,999",3,48563.56364,266207.8,2019
2305 South Ave,Tom The Green Grocer,Union,B,0,110569.0853,73,4.8,15,44511003,1,0,240333,"1 - 1,499",17,68219,562057.7636,2019
828 US Highway 46,Top Quality Food Market,Morris,C+,0,156291.7271,328,3.8,60,44511003,1,0,264333,"1 - 1,499",13,99047.49091,495913.1091,2019
403 Bruck Ave,Torres Mini-Market,Middlesex,C+,0,81947.3414,18,4.8,98,44512001,1,0,229000,"1 - 1,499",12,61266.49091,835785.1818,2019
619 Route 33 W,Tri-County Co-Op Auction Mkt,Mercer,B,0,37490.52094,3,5,30,42448009,1,-0.81640625,1278000,"2,500 - 4,999",4,69383.27273,370297.8364,2019
68 S Washington Ave,Tri-Start Indian Grocery,Bergen,C+,0,108316.9431,15,2.9,27,44511003,0,0,252500,"1 - 1,499",20,85629.45455,942512.0545,2019
388 US Highway 46,Tropical Hut,Morris,B,0,156291.7271,139,4.5,60,44511003,1,0,264333,"1 - 1,499",13,99047.49091,495913.1091,2019
1406 Atlantic Ave,Twenty Four Seven Food Market,Atlantic,B,0,148854.972,7,4,159,44511003,1,0,264500,"1 - 1,499",3,48563.56364,266207.8,2019
216 Sip Ave,Twin City Supermarket,Hudson,C+,0,291532.926,639,4,200,44511003,1,0,230500,"2,500 - 4,999",39,65296.05455,685991.5091,2019
725 Secaucus Rd,Value Fresh Market,Hudson,U,0,97177.64201,128,4.3,110,44511003,1,0,230500,"1 - 1,499",49,65296.05455,685991.5091,2019
125 Watson Ave,Victoria Grocery Corp,Essex,C,0,35045.53939,6,4.8,52,44511003,1,0,243000,"1 - 1,499",11,67268.47273,799220.5636,2019
98 Webster Ave,Vidalia Y Quisqueya Deli-Groc,Hudson,C+,0,97177.64201,12,4.8,110,44511003,0,0,230500,"1,500 - 2,499",49,65296.05455,685991.5091,2019
1720 Old Trenton Rd,Village Pantry Deli,Mercer,B,0,112471.5628,60,4.2,15,44512001,1,0,234667,"1 - 1,499",8,69383.27273,370297.8364,2019
Mile 115 New Jersey Tpke,Vince Lombardi Svc Area,Bergen,B,0,270792.3579,4484,3.7,19,44719005,1,0,1297800,"1 - 1,499",48,85629.45455,942512.0545,2019
1116 N Delaware St,Wally's Grocery & Deli,Gloucester,C+,0,83017.30907,6,3.5,17,44511003,1,0,159000,"1,500 - 2,499",7,54928.12727,292277.1455,2019
615 County Road 627,Warren Glen Market,Warren,C+,0,66852.76632,73,4.8,4,44511003,1,0,234500,"1,500 - 2,499",3,55860.87273,105169.1091,2019
101 Boardwalk,Water Side Food,Atlantic,C+,0,74427.48599,12,4.5,159,44511003,1,0,264500,"1,500 - 2,499",3,48563.56364,266207.8,2019
22 Wall St,Welsh Farms,Monmouth,C+,0,76248.34021,6,4.2,12,44512001,1,0,229000,"1 - 1,499",11,79548.29091,621279.6364,2019
22 Wall St,Welsh Farms,Monmouth,C+,0,76248.34021,6,4.2,12,44512001,1,0,229000,"1 - 1,499",11,79548.29091,621279.6364,2019
1507 Central Ave,White's Market,Ocean,B+,0,1007168.272,90,4.5,2,44511003,1,0,258520,"10,000 - 19,999",0,52010.14545,600689.8727,2019
206 Pegasus Ave,Woori Mart,Bergen,B+,0,649901.6589,598,4.4,15,44511003,1,0,252417,"20,000 - 39,999",12,85629.45455,942512.0545,2019
329 US Highway 46,Xi House Market,Morris,B,0,416777.9391,8,2.9,60,44523003,1,0,178000,"2,500 - 4,999",13,99047.49091,495913.1091,2019
1318 Pacific Ave,Zia Deli & Grocery,Atlantic,C,0,74427.48599,120,4.6,159,72251117,1,0,56000,"1 - 1,499",3,48563.56364,266207.8,2019
574 Jersey Ave,Key Food,Hudson,U,0,97177.64201,449,4.3,73,44511003,1,0,230500,"1 - 1,499",48,65296.05455,685991.5091,2019
501 Richmond St,501 Food Market Inc,Union,C+,0,73712.72353,16,4.1,92,44511003,1,0,240500,"1,500 - 2,499",17,68219,562057.7636,2019
1003 Woodlane Rd,6-12 Food Market,Burlington,C+,0,47746.04451,17,4.2,43,44511003,1,0,237000,"1 - 1,499",6,62081.52727,445855.6545,2019
147 Irving Ave,Abarrotes Los Puentes,Cumberland,C+,0,76474.83443,143,4.2,71,44511003,1,0,239000,"1,500 - 2,499",2,40115.8,151919.2,2019
3211 Route 38,Abbruzzi & Giunta's Italian,Burlington,B+,0,477460.4451,130,4.8,41,44511006,1,0,236300,"5,000 - 9,999",15,62081.52727,445855.6545,2019
423 Main St,Abby's Place,Essex,C+,0,70091.07877,3,5,52,44512001,0,0,243000,"1,500 - 2,499",11,67268.47273,799220.5636,2019
260 Dunns Mill Rd,Acme Markets,Burlington,B,0,1432381.335,609,4.1,32,44511003,1,0,236267,"10,000 - 19,999",8,62081.52727,445855.6545,2019
168 Maple Ave,Adam's Food Market,Bergen,B,0,270792.3579,178,4.8,20,44511003,1,0,252400,"2,500 - 4,999",29,85629.45455,942512.0545,2019
2595 Highway 516,Aiellos Market & Catering,Middlesex,B+,0,1024341.768,140,4.3,41,72232001,1,0,59560,"5,000 - 9,999",9,61266.49091,835785.1818,2019
1075 Easton Ave # 1,Amer-Fil Foodmart,Somerset,B,0,149533.5299,15,4.8,81,44719005,1,0,1131333,"1,500 - 2,499",10,104293.2182,333893.1455,2019
500 Magnolia Ave # A,Angel Food Market,Union,C,0,36856.36176,25,4.2,80,44511003,1,0,241000,"1,500 - 2,499",24,68219,562057.7636,2019
359 E Northfield Rd,Argyle Marketplace LLC,Essex,B,0,140182.1575,151,4.3,24,72251117,1,0,59500,"1 - 1,499",12,67268.47273,799220.5636,2019
423 Main St,Artista Salumeria,Morris,C+,0,156291.7271,43,4.7,14,44511003,1,0,264333,"1,500 - 2,499",4,99047.49091,495913.1091,2019
2 Austin Ave,Astir IT Solutions,Middlesex,C+,0,81947.3414,1,5,37,44511003,1,0,229000,"2,500 - 4,999",21,61266.49091,835785.1818,2019
1625 E 2nd St,Autumn Harvest Health Foods,Union,C+,0,73712.72353,36,4.8,15,44529914,1,0,157000,"1 - 1,499",17,68219,562057.7636,2019
41 S Laurel St,Azteca International LLC,Cumberland,C+,0,76474.83443,80,4,71,44511003,1,0,239000,"1,500 - 2,499",2,40115.8,151919.2,2019
343 Morris Ave,Balboa's Deli Grocery,Union,C,0,36856.36176,4,3,47,44511003,0,0,241000,"1 - 1,499",25,68219,562057.7636,2019
76 Gould Ave,Baraka Halal Grocery,Passaic,B,0,159325.3294,125,4.4,65,44511003,1,0,207750,"1 - 1,499",24,51091.4,506323.1818,2019
1045a Stuyvesant Ave,Barangay Union Grill-Food Mart,Union,C+,0,73712.72353,35,4.4,71,44511003,1,0,240500,"1 - 1,499",29,68219,562057.7636,2019
1 N Johnston Ave # 3,Bark N Bag LLC,Mercer,B,0,112471.5628,20,4.6,39,44511003,1,0,234667,"1,500 - 2,499",8,69383.27273,370297.8364,2019
41 South St,Barth's Pork Store,Union,A,0,737127.2353,149,4.8,7,44511003,1,0,240050,"10,000 - 19,999",14,68219,562057.7636,2019
3790 US Highway 1,Bereket Marketplace,Middlesex,C+,0,204868.3535,198,4.5,21,44511003,1,0,229000,"5,000 - 9,999",8,61266.49091,835785.1818,2019
75 Morristown Rd,Bernardsville Food Store,Somerset,C+,0,99689.01995,25,3.8,8,44511003,1,0,229500,"1,500 - 2,499",3,104293.2182,333893.1455,2019
8515 Landis Ave,Blitz's Market,Cape May,C+,0,68418.69385,22,3.1,7,44511003,1,0,408500,"1 - 1,499",4,61476.94545,92193.6,2019
301 N Harrison St # 45,Bon Appetit,Mercer,B+,0,749810.4188,1039,4.3,35,45322012,1,0,82900,"20,000 - 39,999",7,69383.27273,370297.8364,2019
3112 Fire Rd,Bonterra Market,Atlantic,B,0,558206.1449,46,3.6,40,44619102,1,0,104667,"5,000 - 9,999",9,48563.56364,266207.8,2019
70 Adams St # 1,Bonzao Supermarket,Essex,C+,0,70091.07877,49,4.5,106,44511003,1,0,243000,"1,500 - 2,499",19,67268.47273,799220.5636,2019
295 Union Ave,Brian's Mini Market,Passaic,C+,0,79662.6647,17,4.2,42,44511003,1,0,208000,"1,500 - 2,499",17,51091.4,506323.1818,2019
8302 3rd Ave,Bud's Market,Cape May,C+,0,68418.69385,74,4.3,8,44511003,1,0,408500,"1,500 - 2,499",2,61476.94545,92193.6,2019
246 5th Ave,Cabidan Grocery,Passaic,C+,0,79662.6647,1,4,52,44511003,1,0,208000,"1,500 - 2,499",19,51091.4,506323.1818,2019
516 Carpenter Ln,Cape May Peanut Butter Co,Cape May,C+,0,68418.69385,512,4.7,21,44511003,1,0,408500,"1,500 - 2,499",5,61476.94545,92193.6,2019
1800 Palisade Ave,Caracas Grocery,Hudson,C,0,48588.82101,5,5,210,44511003,1,0,231000,"1,500 - 2,499",55,65296.05455,685991.5091,2019
47 Myrtle St,Casa Reyes Mexican Products,Cumberland,C+,0,76474.83443,41,3.8,71,72251117,1,0,47500,"1 - 1,499",2,40115.8,151919.2,2019
